,Country Name,Country Code,Year,Value
0,Afghanistan,AFG,2000,3521418059.923445
1,Afghanistan,AFG,2001,2813571753.8725324
2,Afghanistan,AFG,2002,3825701438.999633
3,Afghanistan,AFG,2003,4520946818.545814
4,Afghanistan,AFG,2004,5224896718.67782
5,Afghanistan,AFG,2005,6203256538.709669
6,Afghanistan,AFG,2006,6971758282.293506
7,Afghanistan,AFG,2007,9747886187.393929
8,Afghanistan,AFG,2008,10109297047.543194
9,Afghanistan,AFG,2009,12416152732.056717
10,Afghanistan,AFG,2010,15856668555.833595
11,Afghanistan,AFG,2011,17805098206.314083
12,Afghanistan,AFG,2012,19907329777.58717
13,Afghanistan,AFG,2013,20146416757.598675
14,Afghanistan,AFG,2014,20497128555.69723
15,Afghanistan,AFG,2015,19134221644.73249
16,Afghanistan,AFG,2016,18116572395.077213
17,Afghanistan,AFG,2017,18753456497.815865
18,Afghanistan,AFG,2018,18053222687.412624
19,Afghanistan,AFG,2019,18799444490.11278
20,Afghanistan,AFG,2020,19955929052.1496
21,Afghanistan,AFG,2021,14266499429.874573
22,Afghanistan,AFG,2022,14502158192.090397
191,Algeria,DZA,1960,2723615451.3009768
192,Algeria,DZA,1961,2434747055.940175
193,Algeria,DZA,1962,2001444543.918851
194,Algeria,DZA,1963,2702982017.638028
195,Algeria,DZA,1964,2909316435.287398
196,Algeria,DZA,1965,3136284306.8546867
197,Algeria,DZA,1966,3039859187.4516416
198,Algeria,DZA,1967,3370870376.296824
199,Algeria,DZA,1968,3852147026.773019
200,Algeria,DZA,1969,4257253264.088344
201,Algeria,DZA,1970,4863526896.574075
202,Algeria,DZA,1971,5077183093.889678
203,Algeria,DZA,1972,6766743956.8888855
204,Algeria,DZA,1973,8707858912.12481
205,Algeria,DZA,1974,13209871625.904444
206,Algeria,DZA,1975,15557902754.033009
207,Algeria,DZA,1976,17728240932.315838
208,Algeria,DZA,1977,20972113684.95581
209,Algeria,DZA,1978,26364491313.447136
210,Algeria,DZA,1979,33243706859.659607
211,Algeria,DZA,1980,42345829079.206245
212,Algeria,DZA,1981,44348590460.92876
213,Algeria,DZA,1982,45207167470.34967
214,Algeria,DZA,1983,48801369800.36752
215,Algeria,DZA,1984,53698548293.07447
216,Algeria,DZA,1985,57937868670.193726
217,Algeria,DZA,1986,63692007897.38336
218,Algeria,DZA,1987,66745818375.492966
219,Algeria,DZA,1988,59089396860.43423
220,Algeria,DZA,1989,55634721572.73428
221,Algeria,DZA,1990,62048507531.33572
222,Algeria,DZA,1991,45715676428.2766
223,Algeria,DZA,1992,48003133346.995735
224,Algeria,DZA,1993,49945584452.65057
225,Algeria,DZA,1994,42543176828.923744
226,Algeria,DZA,1995,41764291671.77111
227,Algeria,DZA,1996,46941554225.35815
228,Algeria,DZA,1997,48177612042.15065
229,Algeria,DZA,1998,48187781984.48805
230,Algeria,DZA,1999,48640671734.97112
231,Algeria,DZA,2000,54790398570.328224
232,Algeria,DZA,2001,59413400923.63635
233,Algeria,DZA,2002,61516103406.16878
234,Algeria,DZA,2003,73482264190.92455
235,Algeria,DZA,2004,91913680985.17082
236,Algeria,DZA,2005,107046618669.707
237,Algeria,DZA,2006,123084258693.00974
238,Algeria,DZA,2007,142482739809.84927
239,Algeria,DZA,2008,180383848331.13455
240,Algeria,DZA,2009,150317292079.35913
241,Algeria,DZA,2010,177785053939.53052
242,Algeria,DZA,2011,218331946925.3036
243,Algeria,DZA,2012,227143746075.934
244,Algeria,DZA,2013,229701430292.1566
245,Algeria,DZA,2014,238942664192.59
246,Algeria,DZA,2015,187493855609.34464
247,Algeria,DZA,2016,180763839522.1508
248,Algeria,DZA,2017,189880896903.0733
249,Algeria,DZA,2018,194554483655.5277
250,Algeria,DZA,2019,193459662090.6768
251,Algeria,DZA,2020,164873415325.20148
252,Algeria,DZA,2021,186265418570.69662
253,Algeria,DZA,2022,225560256621.7572
254,Algeria,DZA,2023,239899491127.7424
805,Bahrain,BHR,1970,391577364.829337
806,Bahrain,BHR,1971,422181562.09903
807,Bahrain,BHR,1972,534081183.5538125
808,Bahrain,BHR,1973,761132544.6077071
809,Bahrain,BHR,1974,1042176882.5478998
810,Bahrain,BHR,1975,1099107600.2596838
811,Bahrain,BHR,1976,1581709519.2985678
812,Bahrain,BHR,1977,1989060283.1105783
813,Bahrain,BHR,1978,2272042966.4425054
814,Bahrain,BHR,1979,2710160740.2835917
815,Bahrain,BHR,1980,3493834466.8394265
816,Bahrain,BHR,1981,3943109531.7956114
817,Bahrain,BHR,1982,4145421079.979628
818,Bahrain,BHR,1983,4247030467.408351
819,Bahrain,BHR,1984,4440874566.639973
820,Bahrain,BHR,1985,4152376484.476224
821,Bahrain,BHR,1986,3470746843.808431
822,Bahrain,BHR,1987,3856922695.406995
823,Bahrain,BHR,1988,4209834173.796064
824,Bahrain,BHR,1989,4393093961.837181
825,Bahrain,BHR,1990,4809511004.960319
826,Bahrain,BHR,1991,5248911170.212766
827,Bahrain,BHR,1992,5402232446.808511
828,Bahrain,BHR,1993,5913001063.829787
829,Bahrain,BHR,1994,6330627925.531915
830,Bahrain,BHR,1995,6651180851.063829
831,Bahrain,BHR,1996,6938166755.319149
832,Bahrain,BHR,1997,7219407712.765958
833,Bahrain,BHR,1998,7031309042.553191
834,Bahrain,BHR,1999,7528469148.936171
835,Bahrain,BHR,2000,9062898936.170212
836,Bahrain,BHR,2001,8976196808.51064
837,Bahrain,BHR,2002,9593510638.297873
838,Bahrain,BHR,2003,11074813829.787231
839,Bahrain,BHR,2004,13150159574.468084
840,Bahrain,BHR,2005,15968723404.25532
841,Bahrain,BHR,2006,18504760638.29787
842,Bahrain,BHR,2007,21730000000.0
843,Bahrain,BHR,2008,25710904255.31915
844,Bahrain,BHR,2009,22938218085.106384
845,Bahrain,BHR,2010,25713271276.595745
846,Bahrain,BHR,2011,28776595744.68085
847,Bahrain,BHR,2012,30749308510.638294
848,Bahrain,BHR,2013,32539468085.106384
849,Bahrain,BHR,2014,33387712765.957447
850,Bahrain,BHR,2015,31125851063.82979
851,Bahrain,BHR,2016,32250132978.723404
852,Bahrain,BHR,2017,35423643617.02128
853,Bahrain,BHR,2018,37802005319.14893
854,Bahrain,BHR,2019,38653318085.106384
855,Bahrain,BHR,2020,34621807712.76596
856,Bahrain,BHR,2021,39288670212.76596
857,Bahrain,BHR,2022,44383297872.34042
858,Bahrain,BHR,2023,43205000000.0
2155,Chad,TCD,1960,313582728.1475742
2156,Chad,TCD,1961,333975336.1107222
2157,Chad,TCD,1962,357635713.4193201
2158,Chad,TCD,1963,371767002.1948862
2159,Chad,TCD,1964,392247517.7284819
2160,Chad,TCD,1965,416926303.3168722
2161,Chad,TCD,1966,432794921.6804892
2162,Chad,TCD,1967,449826322.6134528
2163,Chad,TCD,1968,453980096.2087106
2164,Chad,TCD,1969,471635621.5615988
2165,Chad,TCD,1970,469266736.65067697
2166,Chad,TCD,1971,501866730.1489865
2167,Chad,TCD,1972,585427546.7982723
2168,Chad,TCD,1973,647199482.9825367
2169,Chad,TCD,1974,652532795.0848049
2170,Chad,TCD,1975,864602104.6796529
2171,Chad,TCD,1976,866044962.0162745
2172,Chad,TCD,1977,935360464.7013408
2173,Chad,TCD,1978,1113920123.767227
2174,Chad,TCD,1979,1004316496.3505076
2175,Chad,TCD,1980,1033002403.8530374
2176,Chad,TCD,1981,876937558.2737565
2177,Chad,TCD,1982,834369859.6630175
2178,Chad,TCD,1983,832415806.0100639
2179,Chad,TCD,1984,919103734.8769958
2180,Chad,TCD,1985,1033069709.331904
2181,Chad,TCD,1986,1067828245.8620746
2182,Chad,TCD,1987,1163426852.2044249
2183,Chad,TCD,1988,1482597297.988208
2184,Chad,TCD,1989,1433686312.0291424
2185,Chad,TCD,1990,1738605557.7631288
2186,Chad,TCD,1991,1877137981.757122
2187,Chad,TCD,1992,1881847669.6979368
2188,Chad,TCD,1993,1463251163.918803
2189,Chad,TCD,1994,1179837963.2221267
2190,Chad,TCD,1995,1445919894.5766084
2191,Chad,TCD,1996,1607345355.782984
2192,Chad,TCD,1997,1544689576.9271238
2193,Chad,TCD,1998,1744794531.214013
2194,Chad,TCD,1999,1534673583.2487004
2195,Chad,TCD,2000,1388506771.587557
2196,Chad,TCD,2001,1710843377.001189
2197,Chad,TCD,2002,1997005708.8157556
2198,Chad,TCD,2003,2742815071.5743995
2199,Chad,TCD,2004,4422855660.82592
2200,Chad,TCD,2005,6649307523.643773
2201,Chad,TCD,2006,7428701453.9150915
2202,Chad,TCD,2007,8650137743.325472
2203,Chad,TCD,2008,10393833765.365055
2204,Chad,TCD,2009,9290728318.988209
2205,Chad,TCD,2010,10668103554.119226
2206,Chad,TCD,2011,12172308851.039494
2207,Chad,TCD,2012,12367362757.13416
2208,Chad,TCD,2013,12953534866.428648
2209,Chad,TCD,2014,13940767218.584888
2210,Chad,TCD,2015,10950392256.954294
2211,Chad,TCD,2016,10097778098.170738
2212,Chad,TCD,2017,10000394381.017702
2213,Chad,TCD,2018,11239167898.339537
2214,Chad,TCD,2019,11314951091.728329
2215,Chad,TCD,2020,10715396042.334282
2216,Chad,TCD,2021,11779981332.159998
2217,Chad,TCD,2022,12396807590.172993
2218,Chad,TCD,2023,13149325358.73826
2428,Comoros,COM,1980,212218261.58564296
2429,Comoros,COM,1981,196349931.5402856
2430,Comoros,COM,1982,184009013.5628149
2431,Comoros,COM,1983,191621954.85533172
2432,Comoros,COM,1984,184697225.63707617
2433,Comoros,COM,1985,196726096.3291308
2434,Comoros,COM,1986,279197721.8075771
2435,Comoros,COM,1987,337525852.64757514
2436,Comoros,COM,1988,356500032.67631584
2437,Comoros,COM,1989,341476768.3260327
2438,Comoros,COM,1990,429622177.72488457
2439,Comoros,COM,1991,424108769.5022311
2440,Comoros,COM,1992,457388651.5009406
2441,Comoros,COM,1993,452881475.0718127
2442,Comoros,COM,1994,319189184.2556394
2443,Comoros,COM,1995,398461797.0094131
2444,Comoros,COM,1996,396053805.8917543
2445,Comoros,COM,1997,364445600.5254924
2446,Comoros,COM,1998,370106745.9301457
2447,Comoros,COM,1999,382454989.94531095
2448,Comoros,COM,2000,351136579.6486322
2449,Comoros,COM,2001,378512024.07755625
2450,Comoros,COM,2002,425964681.04437846
2451,Comoros,COM,2003,546885222.7130651
2452,Comoros,COM,2004,633706110.7956145
2453,Comoros,COM,2005,653845169.1685765
2454,Comoros,COM,2006,698431793.8727758
2455,Comoros,COM,2007,795673152.8670766
2456,Comoros,COM,2008,915659107.9658228
2457,Comoros,COM,2009,905341172.7058296
2458,Comoros,COM,2010,907978730.8878444
2459,Comoros,COM,2011,1023086273.5333632
2460,Comoros,COM,2012,1015843490.823738
2461,Comoros,COM,2013,1116224106.8372765
2462,Comoros,COM,2014,1149587661.0069263
2463,Comoros,COM,2015,966029600.8622274
2464,Comoros,COM,2016,1012835493.193246
2465,Comoros,COM,2017,1077439756.594511
2466,Comoros,COM,2018,1188797449.3858447
2467,Comoros,COM,2019,1195019531.9010963
2468,Comoros,COM,2020,1225039196.6109135
2469,Comoros,COM,2021,1296089479.9197786
2470,Comoros,COM,2022,1242519407.7760253
2471,Comoros,COM,2023,1352380972.1566217
2940,Djibouti,DJI,1985,340989527.96799475
2941,Djibouti,DJI,1987,373371738.2864152
2942,Djibouti,DJI,1988,395794538.6307752
2943,Djibouti,DJI,1989,409220087.1028184
2944,Djibouti,DJI,1990,452328087.282876
2945,Djibouti,DJI,1991,462421998.5257792
2946,Djibouti,DJI,1992,478058304.8711182
2947,Djibouti,DJI,1993,466048469.2298603
2948,Djibouti,DJI,1994,491689220.7448754
2949,Djibouti,DJI,1995,497723960.58991337
2950,Djibouti,DJI,1996,494004647.7343702
2951,Djibouti,DJI,1997,502675542.0012266
2952,Djibouti,DJI,1998,514267869.30075794
2953,Djibouti,DJI,1999,536080148.09729856
2954,Djibouti,DJI,2000,551230861.8565054
2955,Djibouti,DJI,2001,572417440.8201619
2956,Djibouti,DJI,2002,591122039.6013976
2957,Djibouti,DJI,2003,622044665.5150489
2958,Djibouti,DJI,2004,666072101.7775052
2959,Djibouti,DJI,2005,708633194.7265658
2960,Djibouti,DJI,2006,768873684.032838
2961,Djibouti,DJI,2007,847918929.1079838
2962,Djibouti,DJI,2008,999105339.2677286
2963,Djibouti,DJI,2009,1049110684.724934
2964,Djibouti,DJI,2010,1128611700.361803
2965,Djibouti,DJI,2011,1239144501.7752545
2966,Djibouti,DJI,2012,1353632941.520698
2967,Djibouti,DJI,2013,2042817162.8563871
2968,Djibouti,DJI,2014,2214679081.256576
2969,Djibouti,DJI,2015,2424391785.4389744
